100% Pascal Sensei - Kanpeki Paint Bombers (Japan).7z;https://tinyurl.com/2xdyk7nx;293.06 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
12-Sai. Honto no Kimochi (Japan).7z;https://tinyurl.com/yow8butr;1.04 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
12-Sai. Koisuru Diary (Japan).7z;https://tinyurl.com/yn3h6e2x;1.65 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
12-Sai. Torokeru Puzzle Futari no Harmony (Japan).7z;https://tinyurl.com/ylsc2orf;233.46 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
2in1 - Life with Horses 3D + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).7z;https://tinyurl.com/ylfur2ld;176.27 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
2in1 - My Vet Practice 3D - In the Country + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).7z;https://tinyurl.com/yurjlksg;206.55 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
2in1 Horses 3D - My Foal 3D + My Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).7z;https://tinyurl.com/yslzvn7y;186.36 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
2in1 Horses 3D Vol.2 - Rivals in the Saddle and Jumping for the Team 3D (Europe) (En,Fr,De,Es,It).7z;https://tinyurl.com/2x7fn5nn;119.19 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
2in1 Horses 3D Vol.3 - My Riding Stables 3D - Jumping for the Team and My Western Horse 3D (Europe) (En,Fr,De,It,Nl).7z;https://tinyurl.com/yuvxrefc;116.01 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
35 Classic Games (Europe) (En,Fr,Es,It).7z;https://tinyurl.com/yp93ogkw;86.95 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
3D Game Collection - 55-en-1 (France).7z;https://tinyurl.com/ymc2qupc;108.79 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
3D Game Collection - 55-in-1 (Europe).7z;https://tinyurl.com/yvaxv8zv;107.23 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
3D Game Collection - 55-in-1 (Germany) (Fr,De).7z;https://tinyurl.com/yl7bt24n;107.11 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
3D MahJongg (Europe) (En,Fr,De,Nl).7z;https://tinyurl.com/yvkafmcj;61.51 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
3in1 Horses - My Riding Stables 3D - Jumping for the Team + Riding Star 3D + My Western Horse 3D (Europe) (En,Fr,De,Es,It,Nl).7z;https://tinyurl.com/yp88eqgx;139.65 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
4 Elements (Europe) (En,Fr,De,Nl).7z;https://tinyurl.com/yuljjnqn;113.33 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
50 Classic Games (Europe) (En,Fr,Es,It).7z;https://tinyurl.com/ytr568wm;111.60 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
50 Classic Games 3D (Europe) (En,Fr,De,Es,It,Nl).7z;https://tinyurl.com/ylnlfdx4;111.55 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
50 Classic Games 3D (USA) (En,Fr,Es).7z;https://tinyurl.com/ykc25u5n;98.28 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
7th Dragon III Code - VFD (Europe).7z;https://tinyurl.com/yupxphdj;1.60 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
7th Dragon III Code - VFD (Japan).7z;https://tinyurl.com/ypzhw79l;1.59 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
7th Dragon III Code - VFD (USA).7z;https://tinyurl.com/yuvt44kb;1.59 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
A-Ressha de Ikou 3D (Japan).7z;https://tinyurl.com/ymqlqsas;380.58 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
A-Ressha de Ikou 3D NEO (Japan).7z;https://tinyurl.com/ys6wvplz;390.20 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
AKB48+Me (Japan).7z;https://tinyurl.com/ysx4k5eq;864.05 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
AR Games (Europe) (En,Fr,De,Es,It) (Demo) (Kiosk).7z;https://tinyurl.com/ylpcyqa2;19.87 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat - Assault Horizon Legacy (Europe) (En,Fr,De,Es,It).7z;https://tinyurl.com/yuqobunh;692.18 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat - Assault Horizon Legacy (USA) (En,Fr,Es).7z;https://tinyurl.com/yopr55pz;689.80 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat - Assault Horizon Legacy+ (Europe) (En,Fr,De,Es,It).7z;https://tinyurl.com/yp6hsd62;736.78 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat - Assault Horizon Legacy+ (USA) (En,Fr,Es).7z;https://tinyurl.com/ykkmemwv;732.92 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat 3D - Cross Rumble (Japan).7z;https://tinyurl.com/yvebohlb;689.21 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Ace Combat 3D - Cross Rumble+ (Japan).7z;https://tinyurl.com/2xa2uyg5;734.93 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Acrylic Palette - Irodori Cafe - Cheers (Japan).7z;https://tinyurl.com/yvvgkzlo;867.81 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Explore the Dungeon because I DON'T KNOW! (Europe) (En,Fr,De,Es,It).7z;https://tinyurl.com/ymcwed7t;119.26 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Explore the Dungeon because I DON'T KNOW! (USA).7z;https://tinyurl.com/ynrwtmm6;121.36 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Finn & Jake Investigations (Europe) (En,Fr,De,Es,It).7z;https://tinyurl.com/yqba4y49;239.38 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Finn & Jake Investigations (USA).7z;https://tinyurl.com/ylgrez3u;227.16 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1).7z;https://tinyurl.com/yq9jhkrb;102.10 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA).7z;https://tinyurl.com/yvmumz5y;102.07 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - Nameless Oukoku no Sannin no Princess (Japan).7z;https://tinyurl.com/ytgtwkgj;254.27 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - The Secret of the Nameless Kingdom (Europe).7z;https://tinyurl.com/2x8cal67;242.70 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventure Time - The Secret of the Nameless Kingdom (USA).7z;https://tinyurl.com/yoae6acl;239.14 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventures of Tintin, The - The Game (USA) (En,Fr,Es,Pt).7z;https://tinyurl.com/yqqodlro;412.48 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Adventures of Tintin, The - The Secret of the Unicorn (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi,Ca).7z;https://tinyurl.com/ys4fdeh6;415.60 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Aikatsu Stars! My Special Appeal (Japan).7z;https://tinyurl.com/ype9rfsb;390.93 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Aikatsu! 2-ri no My Princess (Japan).7z;https://tinyurl.com/yt5p5ghw;364.78 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Aikatsu! 365-nichi no Idol Days (Japan).7z;https://tinyurl.com/yuag3c5l;467.85 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Aikatsu! Cinderella Lesson (Japan).7z;https://tinyurl.com/yuo6qjj5;237.44 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Aikatsu! My No.1 Stage! (Japan).7z;https://tinyurl.com/ynss6cr5;450.68 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Alien Chaos 3D (USA).7z;https://tinyurl.com/2xxlmarg;49.88 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
All Kamen Rider - Rider Revolution (Japan).7z;https://tinyurl.com/yk9hkjyb;622.81 MiB;7z;https://archive.org/download/3ds-main-encrypted;zip
Alliance Alive, The (Japan).7z;https://tinyurl.com/yumg7697;1.63 GiB;7z;https://archive.org/download/3ds-main-encrypted;zip
