name;link;size;format;origem;type
Assassins Creed IV Black Flag (ElAmigos).7z;https://tinyurl.com/27z6vran;7.27 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Assassins Creed Valhalla.7z;https://tinyurl.com/28ygz564;57.35 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Biohazard (B) (RIP).7z;https://tinyurl.com/29ghxeke;313.94 MiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Bramble The Mountain King.7z;https://tinyurl.com/2ca3p6t5;7.19 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Crisis Core Final Fantasy VII Reunion (FLT).7z;https://tinyurl.com/25sfs7hm;17.78 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Dead Space (BR).7z;https://tinyurl.com/23vy3acu;3.74 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Grand Theft Auto III (Wide Fix - BR).7z;https://tinyurl.com/2a5qlmhl;605.32 MiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Octopath Traveler II [RUNE] [Tradução PT-BR].7z;https://archive.org/download/jogostraduzidosptbr/Octopath Traveler II [RUNE] [Tradução PT-BR].7z;6.70 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Octopath Traveler [Tradução PT-BR].7z;https://archive.org/download/jogostraduzidosptbr/Octopath Traveler [Tradução PT-BR].7z;2.89 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Pier Solar and the Great Architects (GOG).7z;https://tinyurl.com/267fwyl8;2.02 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
Sea of Stars.7z;https://tinyurl.com/24f5wbda;2.93 GiB;7z;https://archive.org/download/jogostraduzidosptbr;7z
