name;link;size;format;origem;type
Alan Wake Remastered CODEX.rar;https://archive.org/download/jogos_antigosdepc/Alan Wake Remastered CODEX.rar;27.73 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Assassins Creed Origins Gold Edition 1.51 ElAmigos/As6sas5sinsCre1edOri8ginsCrackV2.rar;https://archive.org/download/jogos_antigosdepc/Assassins Creed Origins Gold Edition 1.51 ElAmigos/As6sas5sinsCre1edOri8ginsCrackV2.rar;77.30 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Atelier Firis The Alchemist and the Mysterious Journey DX (P2P).7z;https://archive.org/download/jogos_antigosdepc/Atelier Firis The Alchemist and the Mysterious Journey DX (P2P).7z;12.04 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Atelier Ryza Ever Darkness & the Secret Hideout (CODEX).7z;https://archive.org/download/jogos_antigosdepc/Atelier Ryza Ever Darkness & the Secret Hideout (CODEX).7z;8.24 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Biohazard (B) (RIP).7z;https://archive.org/download/jogos_antigosdepc/Biohazard (B) (RIP).7z;313.94 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Biohazard 2 (B) (SourceNext) (RIP).7z;https://archive.org/download/jogos_antigosdepc/Biohazard 2 (B) (SourceNext) (RIP).7z;1.29 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Biohazard 3 - Last Escape (B) (SourceNext) (RIP).7z;https://archive.org/download/jogos_antigosdepc/Biohazard 3 - Last Escape (B) (SourceNext) (RIP).7z;1.26 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Black Clover Quartet Knights [CODEX].7z;https://archive.org/download/jogos_antigosdepc/Black Clover Quartet Knights [CODEX].7z;11.48 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Brothers A Tale of Two Sons.rar;https://archive.org/download/jogos_antigosdepc/Brothers A Tale of Two Sons.rar;1.09 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
CHRONO CROSS THE RADICAL DREAMERS EDITION FLT.7z;https://archive.org/download/jogos_antigosdepc/CHRONO CROSS THE RADICAL DREAMERS EDITION FLT.7z;3.37 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Colin McRae Rally 2005 GOG.zip;https://archive.org/download/jogos_antigosdepc/Colin McRae Rally 2005 GOG.zip;2.89 GiB;ZIP;https://archive.org/download/jogos_antigosdepc;7z
DOOM Enhanced(1.0) (58062) (GOG).rar;https://archive.org/download/jogos_antigosdepc/DOOM Enhanced(1.0) (58062) (GOG).rar;315.74 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
DOOM.II-GOG.7z;https://archive.org/download/jogos_antigosdepc/DOOM.II-GOG.7z;20.32 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Dark Souls Remastered ElAmigos.7z;https://archive.org/download/jogos_antigosdepc/Dark Souls Remastered ElAmigos.7z;6.42 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Disneys Hercules [GOG].7z;https://archive.org/download/jogos_antigosdepc/Disneys Hercules [GOG].7z;366.00 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Doom.3.BFG.Edition-GOG.7z;https://archive.org/download/jogos_antigosdepc/Doom.3.BFG.Edition-GOG.7z;3.91 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Duke Nukem 3D Atomic Edition by GOG.7z;https://archive.org/download/jogos_antigosdepc/Duke Nukem 3D Atomic Edition by GOG.7z;58.71 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Duke Nukem Manhattan Project by GOG.7z;https://archive.org/download/jogos_antigosdepc/Duke Nukem Manhattan Project by GOG.7z;188.34 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Earthworm Jim 1+2 [GOG].7z;https://archive.org/download/jogos_antigosdepc/Earthworm Jim 1+2 [GOG].7z;647.28 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Enter The Matrix ElAmigos.7z;https://archive.org/download/jogos_antigosdepc/Enter The Matrix ElAmigos.7z;1.55 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Euro Truck Simulator 2 [Jogo].7z;https://archive.org/download/jogos_antigosdepc/Euro Truck Simulator 2 [Jogo].7z;4.22 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Far Cry GOG.7z;https://archive.org/download/jogos_antigosdepc/Far Cry GOG.7z;2.43 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final DOOM-GOG.7z;https://archive.org/download/jogos_antigosdepc/Final DOOM-GOG.7z;25.53 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final Fantasy Pixel Remaster.7z;https://archive.org/download/jogos_antigosdepc/Final Fantasy Pixel Remaster.7z;1.65 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final Fantasy VII (U).7z;https://archive.org/download/jogos_antigosdepc/Final Fantasy VII (U).7z;1.77 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA III - Definitive Edition V1.04.7z;https://archive.org/download/jogos_antigosdepc/GTA III - Definitive Edition V1.04.7z;4.13 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA San Andreas (PC 1.0 US Full Retail + crack + tradução).7z;https://archive.org/download/jogos_antigosdepc/GTA San Andreas (PC 1.0 US Full Retail + crack + tradução).7z;3.91 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA San Andreas - Definitive Edition V 1.04.7z;https://archive.org/download/jogos_antigosdepc/GTA San Andreas - Definitive Edition V 1.04.7z;17.81 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA Vice City - Definitive Edition V 1.04.7z;https://archive.org/download/jogos_antigosdepc/GTA Vice City - Definitive Edition V 1.04.7z;8.78 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Gex (GOG).7z;https://archive.org/download/jogos_antigosdepc/Gex (GOG).7z;89.50 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Gun-GOG.7z;https://archive.org/download/jogos_antigosdepc/Gun-GOG.7z;1.44 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman 2 Silent Assassin.7z;https://archive.org/download/jogos_antigosdepc/Hitman 2 Silent Assassin.7z;497.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman 3 Contracts (April 20, 2004).7z;https://archive.org/download/jogos_antigosdepc/Hitman 3 Contracts (April 20, 2004).7z;850.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman Blood Money.7z;https://archive.org/download/jogos_antigosdepc/Hitman Blood Money.7z;3.97 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman Codename 47.7z;https://archive.org/download/jogos_antigosdepc/Hitman Codename 47.7z;240.17 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
KILL la KILL IF (CODEX).7z;https://archive.org/download/jogos_antigosdepc/KILL la KILL IF (CODEX).7z;3.38 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
LEGO Indiana Jones - The Original Adventures [GOG].7z;https://archive.org/download/jogos_antigosdepc/LEGO Indiana Jones - The Original Adventures [GOG].7z;3.33 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Legacy of Kain - Soul Reaver [GOG].7z;https://archive.org/download/jogos_antigosdepc/Legacy of Kain - Soul Reaver [GOG].7z;437.72 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Life.is.Strange.Remastered-CODEX.7z;https://archive.org/download/jogos_antigosdepc/Life.is.Strange.Remastered-CODEX.7z;21.52 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Lost Ruins 1.0.9a.7z;https://archive.org/download/jogos_antigosdepc/Lost Ruins 1.0.9a.7z;390.71 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
MDK 2 GOG.7z;https://archive.org/download/jogos_antigosdepc/MDK 2 GOG.7z;558.28 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
MDK [GOG].7z;https://archive.org/download/jogos_antigosdepc/MDK [GOG].7z;219.05 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL GEAR SOLID - GOG.rar;https://archive.org/download/jogos_antigosdepc/METAL GEAR SOLID - GOG.rar;4.65 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG 2.7z;https://archive.org/download/jogos_antigosdepc/METAL SLUG 2.7z;75.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG 3.7z;https://archive.org/download/jogos_antigosdepc/METAL SLUG 3.7z;75.87 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG X.7z;https://archive.org/download/jogos_antigosdepc/METAL SLUG X.7z;67.20 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG.7z;https://archive.org/download/jogos_antigosdepc/METAL SLUG.7z;56.19 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Maui Mallard in Cold Shadow GOG.7z;https://archive.org/download/jogos_antigosdepc/Maui Mallard in Cold Shadow GOG.7z;93.96 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Max Payne 1 (fix + tradução)(PC).7z;https://archive.org/download/jogos_antigosdepc/Max Payne 1 (fix + tradução)(PC).7z;873.75 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Medal Of Honor - Allied Assault War Chest (March 2, 2004).7z;https://archive.org/download/jogos_antigosdepc/Medal Of Honor - Allied Assault War Chest (March 2, 2004).7z;2.68 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Medal of Honor - Pacific Assault [GOG].7z;https://archive.org/download/jogos_antigosdepc/Medal of Honor - Pacific Assault [GOG].7z;2.90 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mega Man X4 (U).7z;https://archive.org/download/jogos_antigosdepc/Mega Man X4 (U).7z;342.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Metal Gear Solid.7z;https://archive.org/download/jogos_antigosdepc/Metal Gear Solid.7z;840.16 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mortal Kombat 1-3.7z;https://archive.org/download/jogos_antigosdepc/Mortal Kombat 1-3.7z;100.57 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mortal Kombat Trilogy (1.0) (58108)(GOG).7z;https://archive.org/download/jogos_antigosdepc/Mortal Kombat Trilogy (1.0) (58108)(GOG).7z;224.73 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Moto Racer 1 [GOG].7z;https://archive.org/download/jogos_antigosdepc/Moto Racer 1 [GOG].7z;340.87 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Moto Racer 2 v2.1.0.9 [GOG].7z;https://archive.org/download/jogos_antigosdepc/Moto Racer 2 v2.1.0.9 [GOG].7z;463.69 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need For Speed Carbon Remastered 1.5 final.7z;https://archive.org/download/jogos_antigosdepc/Need For Speed Carbon Remastered 1.5 final.7z;3.75 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need for Speed Undergrond 2.7z;https://archive.org/download/jogos_antigosdepc/Need for Speed Undergrond 2.7z;1.95 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need for Speed Underground Definitive Edition Mods-Repack.7z;https://archive.org/download/jogos_antigosdepc/Need for Speed Underground Definitive Edition Mods-Repack.7z;1.02 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need.for.Speed.Most.Wanted.Remastered.Edition-Repack.7z;https://archive.org/download/jogos_antigosdepc/Need.for.Speed.Most.Wanted.Remastered.Edition-Repack.7z;2.94 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Ori and the Blind Forest Complete.rar;https://archive.org/download/jogos_antigosdepc/Ori and the Blind Forest Complete.rar;2.69 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Painkiller Black Edition [GOG].7z;https://archive.org/download/jogos_antigosdepc/Painkiller Black Edition [GOG].7z;3.73 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Quake 3 Gold [GOG].7z;https://archive.org/download/jogos_antigosdepc/Quake 3 Gold [GOG].7z;877.76 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil (U).7z;https://archive.org/download/jogos_antigosdepc/Resident Evil (U).7z;412.17 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 2 (U).7z;https://archive.org/download/jogos_antigosdepc/Resident Evil 2 (U).7z;1.08 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 3 - Nemesis (U).7z;https://archive.org/download/jogos_antigosdepc/Resident Evil 3 - Nemesis (U).7z;445.89 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 4.7z;https://archive.org/download/jogos_antigosdepc/Resident Evil 4.7z;2.52 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 5 Gold Edition (PLAZA) PC.rar;https://archive.org/download/jogos_antigosdepc/Resident Evil 5 Gold Edition (PLAZA) PC.rar;7.55 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
