title;url
雨音スイッチ -AmaneSwitch- Switch NSP;https://nsw2u.net/%e9%9b%a8%e9%9f%b3%e3%82%b9%e3%82%a4%e3%83%83%e3%83%81-amaneswitch-switch-nsp
机でボウリング Switch NSP XCI;https://nsw2u.net/%e6%9c%ba%e3%81%a7%e3%83%9c%e3%82%a6%e3%83%aa%e3%83%b3%e3%82%b0-switch-nsp-xci
机でバレー Switch NSP;https://nsw2u.net/%e6%9c%ba%e3%81%a7%e3%83%90%e3%83%ac%e3%83%bc-switch-nsp
机でドッジボール Switch NSP XCI;https://nsw2u.net/%e6%9c%ba%e3%81%a7%e3%83%89%e3%83%83%e3%82%b8%e3%83%9c%e3%83%bc%e3%83%ab-switch-nsp-xci
恋する乙女と守護の楯～薔薇の聖母～ Switch NSP;https://nsw2u.net/%e6%81%8b%e3%81%99%e3%82%8b%e4%b9%99%e5%a5%b3%e3%81%a8%e5%ae%88%e8%ad%b7%e3%81%ae%e6%a5%af%ef%bd%9e%e8%96%94%e8%96%87%e3%81%ae%e8%81%96%e6%af%8d%ef%bd%9e-switch-nsp
夕鬼 零 Yuoni: Rises Switch NSP XCI;https://nsw2u.net/%e5%a4%95%e9%ac%bc-%e9%9b%b6-yuoni-rises-switch-nsp-xci
ボクらのスクールバトル Switch NSP XCI;https://nsw2u.net/%e3%83%9c%e3%82%af%e3%82%89%e3%81%ae%e3%82%b9%e3%82%af%e3%83%bc%e3%83%ab%e3%83%90%e3%83%88%e3%83%ab-switch-nsp-xci
バルダーダッシュ：Boulder Dash – 30th Anniversary Switch NSP;https://nsw2u.net/%e3%83%90%e3%83%ab%e3%83%80%e3%83%bc%e3%83%80%e3%83%83%e3%82%b7%e3%83%a5%ef%bc%9aboulder-dash-30th-anniversary-switch-nsp
バイオレットと奇妙な世界 Switch NSP XCI;https://nsw2u.net/%e3%83%90%e3%82%a4%e3%82%aa%e3%83%ac%e3%83%83%e3%83%88%e3%81%a8%e5%a5%87%e5%a6%99%e3%81%aa%e4%b8%96%e7%95%8c-switch-nsp-xci
ドラもじ　のび太の漢字大作戦 Switch NSP XCI;https://nsw2u.net/%e3%83%89%e3%83%a9%e3%82%82%e3%81%98%e3%80%80%e3%81%ae%e3%81%b3%e5%a4%aa%e3%81%ae%e6%bc%a2%e5%ad%97%e5%a4%a7%e4%bd%9c%e6%88%a6-switch-nsp-xci
ドラちえ　ミニドラ音楽隊と７つの知恵 Switch NSP XCI;https://nsw2u.net/%e3%83%89%e3%83%a9%e3%81%a1%e3%81%88%e3%80%80%e3%83%9f%e3%83%8b%e3%83%89%e3%83%a9%e9%9f%b3%e6%a5%bd%e9%9a%8a%e3%81%a8%ef%bc%97%e3%81%a4%e3%81%ae%e7%9f%a5%e6%81%b5-switch-nsp-xci
ドラかず のび太のすうじ大冒険 Switch NSP XCI;https://nsw2u.net/%e3%83%89%e3%83%a9%e3%81%8b%e3%81%9a-%e3%81%ae%e3%81%b3%e5%a4%aa%e3%81%ae%e3%81%99%e3%81%86%e3%81%98%e5%a4%a7%e5%86%92%e9%99%ba-switch-nsp-xci
